title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Untitled,ca. 1960,1957-01-01,1963-01-01,lithograph on paper,2006.81.22,cmoa:things/8edfa1d6-22f4-457c-8f8f-914e68a6cc2a,Gift of Mr. and Mrs. Leon Arkus,2007-02-01,Contemporary Art,Not on View,25.125,36.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=38029,"The donor, Pittsburgh",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Minotaure aveugle guidé par une filette dans la nuit (Blind Minotaur Guided by a Young Girl in the Night),1934,1934-01-01,1934-01-01,"aquatint, scraper, drypoint, and burin on Montval paper",2013.13,cmoa:things/c20f15d2-18f0-4f62-866a-ac383809ce96,"Alan G. and Jane A. Lehman Fund, Robert S. Waters Charitable Trust Fund, and Charles J. Rosenbloom Fund",2013-05-23,Fine Arts,Not on View,24.0,18.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=101444,"Ambroise Vollard [1866-1939], Paris, France
Henri M. Petiet [1894-1980], Paris (from the Vollard Estate)
Heirs of Henri M. Petiet, Paris
Marc Rosen Fine Art, Ltd., New York

Under review by CGK",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=119885&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971|cmoa:parties/380e63f2-503c-4f24-8371-247fbe46ed13,Person|Person,Pablo Picasso|Roger Lacourière,"Picasso, Pablo|Lacourière, Roger",printer|,Spanish|French,1881-01-01|1892-01-01,1973-01-01|1966-01-01,"Málaga, Spain|","Mougins, France|"
Minotaure No. 1,06/01/1933,1933-06-01,1933-06-01,printed magazine,2015.28.8,cmoa:things/f09a85ed-e09f-4c2d-a7e6-66281be42476,Leisser Art Fund,2015-09-17,Fine Arts,Not on View,9.75,12.5,0.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=108230,"Ursus Rare Books, Ltd. to CMOA, April 2015",books,http://collection.cmoa.org/CollectionImage.aspx?irn=147930&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971|cmoa:parties/af444a10-4c10-4add-9145-e03739bd125e,Person|Person,Pablo Picasso|Albert Skira,"Picasso, Pablo|Albert Skira",artist|publisher,Spanish|Swiss,1881-01-01|1904-01-01,1973-01-01|1973-01-01,"Málaga, Spain|","Mougins, France|"
"Trois Nus Debout a Droite, Esquisses de Tetes, from Le Chef d'oeuvre Inconnu",1927,1927-01-01,1927-01-01,etching on paper,1998.11.3,cmoa:things/6209973e-92cd-4633-a46a-b02ef61d0d43,"Gift of the Estate of Maria Conderman, through the generosity of the Women's Committee",1998-02-05,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1003592,"Estate Of  Maria Conderman, Pittsburgh, PA",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
L'Homme a la Guitare (Man with the Guitar),1915,1915-01-01,1915-01-01,"engraving with scraper printed on ""old japan""",1998.62,cmoa:things/f70d03e3-0fe7-4f6a-a430-ddced6d09d82,Edward N. Haskell Family Acquisition Fund,1998-12-03,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1003800,"Marc Rosen Fine Art, New York, NY",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=32252&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=32253&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Scene D'Interieur,1926,1926-01-01,1926-01-01,lithograph on paper,1999.16,cmoa:things/86a60a56-1d59-47e1-a904-058e4ea7befc,Gift of Mr. and Mrs. Philip Stehle,1999-04-08,Fine Arts,Not on View,22.0,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1003848,"Stehle, Mr. And Mrs. Philip, Pittsburgh, PA",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=32175&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=32176&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Head of a Bearded Man,1902,1902-01-01,1902-01-01,charcoal on paper,2000.68,cmoa:things/b6406b9d-84b0-475d-b133-5abda024e101,Gift of Leon and Jane Arkus,2000-12-07,Fine Arts,Not on View,21.0,24.125,2.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1004135,"The Donors, Gift of Leon and Jane Arkus, Pittsburgh",drawings and watercolors,http://collection.cmoa.org/CollectionImage.aspx?irn=37486&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Les Trois Graces (The Three Graces),1927,1927-01-01,1927-01-01,etching on paper,54.12.2,cmoa:things/7180fff1-1293-4fb6-b5ad-bb7001885375,Leisser Art Fund,1954-03-03,Fine Arts,Not on View,18.0,24.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1009197,Peter H. Deitsch,prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Salome,1905,1905-01-01,1905-01-01,etching and drypoint on paper,54.12.3,cmoa:things/189ddad6-f8ef-46da-9a20-5c9e33819334,Leisser Art Fund,1954-03-03,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1009198,Peter H. Deitsch,prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Torse De Femme,1954,1954-01-01,1954-01-01,aquatint on paper,55.62,cmoa:things/4809161a-ffe2-4ef4-b3ce-7a944e97965f,Leisser Art Fund,1955-12-19,Contemporary Art,Not on View,25.0,35.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1009546,"Galeries Der Spiegel, Cologne, Germany",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
