Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1991.324.2,False,False,98727,Costume Institute,Necktie,Necktie,French,,,,,Designer,Textile designed by,Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo",Spanish,1881      ,1973      ,1950s–60s,1950,1969,silk,,"Gift of Stanley J. Love, 1991",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/98727,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2124,False,False,156916,Costume Institute,Necktie,Necktie,French,,,,,Artist|Department Store,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156916,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2125,False,False,156917,Costume Institute,Necktie,Necktie,French,,,,,Department Store|Artist,,J. C. D'Ahetze|Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"D'Ahetze J. C.|Picasso, Pablo",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156917,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2126,False,False,156918,Costume Institute,Necktie,Necktie,French,,,,,Artist|Department Store,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156918,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2127,False,False,156919,Costume Institute,Necktie,Necktie,French,,,,,Department Store|Artist,,J. C. D'Ahetze|Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"D'Ahetze J. C.|Picasso, Pablo",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156919,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2128,False,False,156920,Costume Institute,Necktie,Necktie,French,,,,,Artist|Department Store,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156920,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.7620,False,False,174673,Costume Institute,Necktie,Necktie,French,,,,,Artist|Retailer,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,Silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/174673,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2005.100.326,False,False,286542,Photographs,Photograph,Bal of Etienne de Beaumont,,,,,,Artist|Person in Photograph|Person in Photograph,Person in photograph|Person in photograph,Man Ray|Pablo Picasso|Olga Khokhlova,"American, Philadelphia, Pennsylvania 1890–1976 Paris|Spanish, Malaga 1881–1973 Mougins, France|1891–1955",,"Man Ray|Picasso, Pablo|Khokhlova, Olga",American|Spanish,1890      |1881      |1891      ,1976      |1973      |1955      ,ca. 1924,1922,1926,Gelatin silver print,"Image: 7 15/16 × 6 5/8 in. (20.1 × 16.8 cm)
Mount: 16 1/8 in. × 12 3/16 in. (41 × 31 cm)","Gilman Collection, Purchase, Mr. and Mrs. Henry R. Kravis Gift, 2005",,,,,,,,,,,,Photographs,"© 2017 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/286542,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1983.1212.27,False,False,336518,Drawings and Prints,Print,"Young Man with a Bull's Mask, Faun, and Profile of a Woman",,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Jacques Frélaut|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|French|Paris",", 1981","Picasso, Pablo|Frélaut, Jacques|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,"1934, printed 1961",1961,1961,Etching,"plate: 8 3/4 x 12 3/16 in. (22.2 x 31 cm)
sheet: 15 3/4 x 20 in. (40 x 50.8 cm)","Gift of Reiss-Cohen Inc., 1983",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/336518,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1986.1224.1(2),False,False,336519,Drawings and Prints,Print,Dream and Lie of Franco II,,,,,,Artist,,Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo",Spanish,1881      ,1973      ,1937,1937,1937,Aquatint,"Plate: 12 7/16 x 16 9/16 in. (31.6 x 42.1 cm)
Sheet: 15 3/16 x 22 1/2 in. (38.6 x 57.2 cm)","Gift of Mr. and Mrs. E. Powis Jones, 1986",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/336519,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
