Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Picasso, ""Les Menines,"" Galerie Louise Leiris",Pablo Picasso,4609,1959,Lithograph,"18 3/4 x 26 1/4"" (47.6 x 66.6 cm)",Gift of Mourlot Frères,60.1960,Design,Architecture & Design,1960-04-06,Y,4891,http://www.moma.org/collection/works/4891,http://www.moma.org/media/W1siZiIsIjEyMzkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=af1758d9089b85d4,,,,47.6,,,66.6,,
Vallauris 1951 Exposition,Pablo Picasso,4609,1951,Linocut,"25 5/8 x 19 1/2"" (65.1 x 49.5 cm)",Given anonymously,172.1968,Design,Architecture & Design,1968-03-07,Y,5481,http://www.moma.org/collection/works/5481,http://www.moma.org/media/W1siZiIsIjI4OTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=2fa10ca5ac77b94f,,,,65.1,,,49.5,,
Exposition Hispano-Americaine,Pablo Picasso,4609,1951,Lithograph,"23 1/4 x 18"" (59.1 x 45.7 cm)",Purchase,331.1953,Design,Architecture & Design,1953-04-07,Y,6305,http://www.moma.org/collection/works/6305,http://www.moma.org/media/W1siZiIsIjUxNDQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=5647eb4c4d832ae2,,,,59.1,,,45.7,,
Picasso et le théâtre,Pablo Picasso,4609,1965,Lithograph,"35 3/4 x 22 3/4"" (90.8 x 57.8 cm)",Gift of James Thrall Soby,331.1966,Design,Architecture & Design,1966-05-10,Y,6308,http://www.moma.org/collection/works/6308,,,,,90.8051816104,,,57.7851155702,,
Exposition Vallauris,Pablo Picasso,4609,1952,Linoleum cut,"each: 26 1/8 x 19 3/4"" (66.4 x 50.2 cm)",Gift of Curt Valentin,332.1953.1-2,Design,Architecture & Design,1953-04-07,N,6312,,,,,,66.4,,,50.2,,
Exposition Vallauris,Pablo Picasso,4609,c.1953,Linocut,"each: 37 1/2 x 23 1/4"" (95.3 x 59.1 cm)",Gift of Curt Valentin,333.1953.1-2,Design,Architecture & Design,1953-04-07,N,6319,,,,,,95.2501905004,,,59.0551181102,,
Exposition Vallauris,Pablo Picasso,4609,c.1953,Poster,,Gift of Elizabeth Fuller,334.1953,Design,Architecture & Design,1953-04-07,N,6327,,,,,,,,,,,
"Toros en Vallauris, 1955",Pablo Picasso,4609,1955,Color woodcut,,Gift of Gertrud A. Mellon,335.1957,Design,Architecture & Design,1957-12-04,N,6335,,,,,,,,,,,
"Vallaurus, Toros",Pablo Picasso,4609,1956,Woodcut,"39 x 25 5/8"" (99.1 x 65.1 cm)",Gift of Gertrud A. Mellon,336.1957,Design,Architecture & Design,1957-12-04,Y,6342,http://www.moma.org/collection/works/6342,http://www.moma.org/media/W1siZiIsIjUyMTkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=1ea9365a6ab746ce,,,,99.1,,,65.1,,
"Vallauris-1952, Exposition",Pablo Picasso,4609,1956,Linocut,"39 x 25 3/4"" (99.1 x 65.4 cm)",Gift of Gertrud A. Mellon,337.1957,Design,Architecture & Design,1957-12-04,Y,6349,http://www.moma.org/collection/works/6349,http://www.moma.org/media/W1siZiIsIjUyMzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d554d4d91cf866c8,,,,99.1,,,65.4,,
