id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
11854,N04683,"Picasso, Pablo",artist,1767,Flowers,1901,Oil paint on canvas,Purchased with assistance from the Contemporary Art Society 1933,1901,1933,support: 651 x 489 mm frame: 916 x 758 x 103 mm,651,489,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N04/N04683_8.jpg,http://www.tate.org.uk/art/artworks/picasso-flowers-n04683
11855,N04719,"Picasso, Pablo",artist,1767,Seated Woman in a Chemise,1923,Oil paint on canvas,Bequeathed by C. Frank Stoop 1933,1923,1933,support: 921 x 730 mm frame: 1198 x 1008 x 90 mm,921,730,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N04/N04719_8.jpg,http://www.tate.org.uk/art/artworks/picasso-seated-woman-in-a-chemise-n04719
11856,N04720,"Picasso, Pablo",artist,1767,Girl in a Chemise,c.1905,Oil paint on canvas,Bequeathed by C. Frank Stoop 1933,1905,1933,support: 727 x 600 mm frame: 924 x 802 x 123 mm,727,600,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N04/N04720_8.jpg,http://www.tate.org.uk/art/artworks/picasso-girl-in-a-chemise-n04720
11857,N04721,"Picasso, Pablo",artist,1767,Horse with a Youth in Blue,1905–6,Watercolour and gouache on paper,Bequeathed by C. Frank Stoop 1933,1905,1933,support: 498 x 321 mm,498,321,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N04/N04721_8.jpg,http://www.tate.org.uk/art/artworks/picasso-horse-with-a-youth-in-blue-n04721
11858,N05904,"Picasso, Pablo",artist,1767,Seated Nude,1909–10,Oil paint on canvas,Purchased 1949,1909,1949,support: 921 x 730 mm frame: 1199 x 1005 x 108 mm,921,730,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N05/N05904_8.jpg,http://www.tate.org.uk/art/artworks/picasso-seated-nude-n05904
11859,N05915,"Picasso, Pablo",artist,1767,Bust of a Woman,1909,Oil paint on canvas,Purchased 1949,1909,1949,support: 727 x 600 mm frame: 911 x 799 x 81 mm,727,600,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N05/N05915_8.jpg,http://www.tate.org.uk/art/artworks/picasso-bust-of-a-woman-n05915
11860,N06023,"Picasso, Pablo",artist,1767,Cock,"1932, cast 1952",Bronze,Purchased 1953,1932,1953,object: 655 x 582 x 395 mm,655,582,395,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N06/N06023_8.jpg,http://www.tate.org.uk/art/artworks/picasso-cock-n06023
11861,N06205,"Picasso, Pablo",artist,1767,Nude Woman in a Red Armchair,1932,Oil paint on canvas,Purchased 1953,1932,1953,support: 1299 x 972 mm frame: 1414 x 1081 x 83 mm,1299,972,,mm,date inscribed,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/N/N06/N06205_8.jpg,http://www.tate.org.uk/art/artworks/picasso-nude-woman-in-a-red-armchair-n06205
11862,P01718,"Picasso, Pablo",artist,1767,Composition,1948,Lithograph on paper,Presented by Patrick Seale Prints 1975,1948,1975,image: 495 x 762 mm,495,762,,mm,date inscribed,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P01/P01718_8.jpg,http://www.tate.org.uk/art/artworks/picasso-composition-p01718
20851,P11360,"Picasso, Pablo",artist,1767,"Faun Revealing a Sleeping Woman (Jupiter and Antiope, after Rembrandt)",1936,Etching and aquatint on paper,"Presented by Gustav and Elly Kahnweiler 1974, accessioned 1994",1936,1994,image: 316 x 417 mm,316,417,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/P/P11/P11360_8.jpg,http://www.tate.org.uk/art/artworks/picasso-faun-revealing-a-sleeping-woman-jupiter-and-antiope-after-rembrandt-p11360
